Trial,Year,State,Site,Site_Prod,Block,Plant_N,Yield_SY
2,2014,IA,MasonCity,High,3,40,10489
2,2014,IA,MasonCity,High,3,40,11730.7
2,2014,IA,MasonCity,High,3,40,11235.2
2,2014,IA,MasonCity,High,3,200,13067.4
2,2014,IA,MasonCity,High,3,40,13724.3
2,2014,IA,MasonCity,High,3,80,11051.8
2,2014,IA,MasonCity,High,3,80,13055.6
2,2014,IA,MasonCity,High,3,40,12516
2,2014,IA,MasonCity,High,3,160,12426
2,2014,IA,MasonCity,High,3,240,13553.3
2,2014,IA,MasonCity,High,3,120,12422.6
2,2014,IA,MasonCity,High,3,80,12448.2
2,2014,IA,MasonCity,High,3,40,13959
2,2014,IA,MasonCity,High,3,280,13047.3
2,2014,IA,MasonCity,High,3,40,7744.9
2,2014,IA,MasonCity,High,4,120,12226.5
2,2014,IA,MasonCity,High,4,80,11406.8
2,2014,IA,MasonCity,High,4,40,10846.1
2,2014,IA,MasonCity,High,4,80,11912.3
2,2014,IA,MasonCity,High,4,240,13904.8
2,2014,IA,MasonCity,High,4,40,11221.1
2,2014,IA,MasonCity,High,4,160,13828.5
2,2014,IA,MasonCity,High,4,40,12629.8
2,2014,IA,MasonCity,High,4,40,12377.2
2,2014,IA,MasonCity,High,4,40,9457.5
2,2014,IA,MasonCity,High,4,280,14427.7
2,2014,IA,MasonCity,High,4,0,5146.4
2,2014,IA,MasonCity,High,4,40,13025.2
2,2014,IA,MasonCity,High,4,80,11413.3
2,2014,IA,MasonCity,High,4,200,12601.9
2,2014,IA,MasonCity,High,4,40,10874.5
3,2014,IL,Brownstown,Low,1,40,4039.6
3,2014,IL,Brownstown,Low,1,80,6180
3,2014,IL,Brownstown,Low,1,40,8312.5
3,2014,IL,Brownstown,Low,1,40,13414.9
3,2014,IL,Brownstown,Low,1,80,12818.1
3,2014,IL,Brownstown,Low,1,40,13383.8
3,2014,IL,Brownstown,Low,1,40,10667.3
3,2014,IL,Brownstown,Low,1,160,9567.6
3,2014,IL,Brownstown,Low,1,0,4061.4
3,2014,IL,Brownstown,Low,1,120,8263.9
3,2014,IL,Brownstown,Low,1,40,13753.2
3,2014,IL,Brownstown,Low,1,40,12824.5
3,2014,IL,Brownstown,Low,1,80,12910.8
3,2014,IL,Brownstown,Low,1,200,12161.9
3,2014,IL,Brownstown,Low,1,240,12524.5
3,2014,IL,Brownstown,Low,1,280,13162.5
3,2014,IL,Brownstown,Low,2,160,9929.8
3,2014,IL,Brownstown,Low,2,80,13051.3
3,2014,IL,Brownstown,Low,2,240,10816.3
3,2014,IL,Brownstown,Low,2,40,11231.6
3,2014,IL,Brownstown,Low,2,0,4839.6
3,2014,IL,Brownstown,Low,2,40,12846.6
3,2014,IL,Brownstown,Low,2,40,8130.9
3,2014,IL,Brownstown,Low,2,80,7274
3,2014,IL,Brownstown,Low,2,120,8476.3
3,2014,IL,Brownstown,Low,2,40,10969
3,2014,IL,Brownstown,Low,2,80,10712.6
3,2014,IL,Brownstown,Low,2,280,8282.5
3,2014,IL,Brownstown,Low,2,40,7956
3,2014,IL,Brownstown,Low,2,40,11799
3,2014,IL,Brownstown,Low,2,200,11100.9
3,2014,IL,Brownstown,Low,2,40,7630.8
3,2014,IL,Brownstown,Low,3,0,4961.7
3,2014,IL,Brownstown,Low,3,40,7785.4
3,2014,IL,Brownstown,Low,3,40,13104.4
3,2014,IL,Brownstown,Low,3,40,13563.4
3,2014,IL,Brownstown,Low,3,200,12556.3
3,2014,IL,Brownstown,Low,3,40,12860
3,2014,IL,Brownstown,Low,3,80,6667.7
3,2014,IL,Brownstown,Low,3,80,14298.7
3,2014,IL,Brownstown,Low,3,40,12497.7
3,2014,IL,Brownstown,Low,3,160,10770
3,2014,IL,Brownstown,Low,3,240,12350.4
3,2014,IL,Brownstown,Low,3,120,8706.1
3,2014,IL,Brownstown,Low,3,80,13041.9
3,2014,IL,Brownstown,Low,3,40,11229.7
3,2014,IL,Brownstown,Low,3,280,13199.6
3,2014,IL,Brownstown,Low,3,40,5784.7
3,2014,IL,Brownstown,Low,4,120,10732.8
3,2014,IL,Brownstown,Low,4,80,12253.8
3,2014,IL,Brownstown,Low,4,40,9329.1
3,2014,IL,Brownstown,Low,4,80,13032.6
3,2014,IL,Brownstown,Low,4,240,13413.7
3,2014,IL,Brownstown,Low,4,40,11622.1
3,2014,IL,Brownstown,Low,4,160,10761.9
3,2014,IL,Brownstown,Low,4,40,13553.4
3,2014,IL,Brownstown,Low,4,40,12759.1
3,2014,IL,Brownstown,Low,4,40,8038.3
3,2014,IL,Brownstown,Low,4,280,11660.5
3,2014,IL,Brownstown,Low,4,0,5324.4
3,2014,IL,Brownstown,Low,4,40,12693.6
3,2014,IL,Brownstown,Low,4,80,8406.5
3,2014,IL,Brownstown,Low,4,200,13609.2
3,2014,IL,Brownstown,Low,4,40,14083.4
4,2014,IL,Urbana,High,1,40,7202.9
4,2014,IL,Urbana,High,1,80,8413
4,2014,IL,Urbana,High,1,40,8766.8
4,2014,IL,Urbana,High,1,40,14493.6
4,2014,IL,Urbana,High,1,80,14270.4
4,2014,IL,Urbana,High,1,40,13814.9
4,2014,IL,Urbana,High,1,40,11014.6
4,2014,IL,Urbana,High,1,160,14091
4,2014,IL,Urbana,High,1,0,5919.5
4,2014,IL,Urbana,High,1,120,11986.5
4,2014,IL,Urbana,High,1,40,14426.8
4,2014,IL,Urbana,High,1,40,13413.2
4,2014,IL,Urbana,High,1,80,12957.4
4,2014,IL,Urbana,High,1,200,13505.5
4,2014,IL,Urbana,High,1,240,14646
4,2014,IL,Urbana,High,1,280,15469.3
4,2014,IL,Urbana,High,2,160,13723.9
4,2014,IL,Urbana,High,2,80,14691.6
4,2014,IL,Urbana,High,2,240,13253.9
4,2014,IL,Urbana,High,2,40,14420.3
4,2014,IL,Urbana,High,2,0,4806.1
4,2014,IL,Urbana,High,2,40,16242.2
4,2014,IL,Urbana,High,2,40,10694.5
4,2014,IL,Urbana,High,2,80,11150.9
4,2014,IL,Urbana,High,2,120,13758.5
4,2014,IL,Urbana,High,2,40,13731.9
4,2014,IL,Urbana,High,2,80,13447
4,2014,IL,Urbana,High,2,280,12027.4
4,2014,IL,Urbana,High,2,40,9058.1
4,2014,IL,Urbana,High,2,40,14917.5
4,2014,IL,Urbana,High,2,200,13481.6
4,2014,IL,Urbana,High,2,40,15297.7
4,2014,IL,Urbana,High,3,0,4297.7
4,2014,IL,Urbana,High,3,40,10086.6
4,2014,IL,Urbana,High,3,40,13819.4
4,2014,IL,Urbana,High,3,40,14679
4,2014,IL,Urbana,High,3,200,13937.6
4,2014,IL,Urbana,High,3,40,15309.8
4,2014,IL,Urbana,High,3,80,10627.8
4,2014,IL,Urbana,High,3,80,15752.2
4,2014,IL,Urbana,High,3,40,12124.7
4,2014,IL,Urbana,High,3,160,13300.5
4,2014,IL,Urbana,High,3,240,12540.5
4,2014,IL,Urbana,High,3,120,11194.5
4,2014,IL,Urbana,High,3,80,13007.8
4,2014,IL,Urbana,High,3,40,12657.1
4,2014,IL,Urbana,High,3,280,14466.3
4,2014,IL,Urbana,High,3,40,7907.6
4,2014,IL,Urbana,High,4,120,12038.5
4,2014,IL,Urbana,High,4,80,14484.3
4,2014,IL,Urbana,High,4,40,8948.4
4,2014,IL,Urbana,High,4,80,12875.3
4,2014,IL,Urbana,High,4,240,14080.4
4,2014,IL,Urbana,High,4,40,11593.9
4,2014,IL,Urbana,High,4,160,12131.3
4,2014,IL,Urbana,High,4,40,14387.1
4,2014,IL,Urbana,High,4,40,14164.9
4,2014,IL,Urbana,High,4,40,6811.4
4,2014,IL,Urbana,High,4,280,13656.4
4,2014,IL,Urbana,High,4,0,4578.3
4,2014,IL,Urbana,High,4,40,12240.9
4,2014,IL,Urbana,High,4,80,8444.2
4,2014,IL,Urbana,High,4,200,12053.2
4,2014,IL,Urbana,High,4,40,14051.6
5,2014,IN,Loam,High,1,120,13783.8
5,2014,IN,Loam,High,1,0,6615.4
5,2014,IN,Loam,High,1,240,13955.2
5,2014,IN,Loam,High,1,40,14285.3
5,2014,IN,Loam,High,1,200,12780.1
5,2014,IN,Loam,High,1,40,13958.4
5,2014,IN,Loam,High,1,40,12506.1
5,2014,IN,Loam,High,1,80,14158.9
5,2014,IN,Loam,High,1,40,13944.3
5,2014,IN,Loam,High,1,280,11936.9
5,2014,IN,Loam,High,1,40,9764.8
5,2014,IN,Loam,High,1,40,13452.2
5,2014,IN,Loam,High,1,80,11713.8
5,2014,IN,Loam,High,1,80,14153.3
5,2014,IN,Loam,High,1,40,11907.7
5,2014,IN,Loam,High,1,160,13059.1
5,2014,IN,Loam,High,2,40,13016.5
5,2014,IN,Loam,High,2,40,13765.3
5,2014,IN,Loam,High,2,80,10784.6
5,2014,IN,Loam,High,2,0,6803.3
5,2014,IN,Loam,High,2,40,13170.6
5,2014,IN,Loam,High,2,280,12956.1
5,2014,IN,Loam,High,2,240,12647.7
5,2014,IN,Loam,High,2,120,12797.8
5,2014,IN,Loam,High,2,40,14722.7
5,2014,IN,Loam,High,2,40,13117.5
5,2014,IN,Loam,High,2,80,13582.4
5,2014,IN,Loam,High,2,40,9322.8
5,2014,IN,Loam,High,2,40,14093.8
5,2014,IN,Loam,High,2,80,14501.4
5,2014,IN,Loam,High,2,200,14011.8
5,2014,IN,Loam,High,2,160,13842.4
5,2014,IN,Loam,High,3,80,14464.1
5,2014,IN,Loam,High,3,40,13630.7
5,2014,IN,Loam,High,3,80,11512.3
5,2014,IN,Loam,High,3,40,15503.3
5,2014,IN,Loam,High,3,80,11844.3
5,2014,IN,Loam,High,3,40,12623.5
5,2014,IN,Loam,High,3,40,13485.1
5,2014,IN,Loam,High,3,160,12563.2
5,2014,IN,Loam,High,3,280,13585.3
5,2014,IN,Loam,High,3,0,7838
5,2014,IN,Loam,High,3,40,15081.6
5,2014,IN,Loam,High,3,40,13448.8
5,2014,IN,Loam,High,3,240,13095.2
5,2014,IN,Loam,High,3,40,10010.6
5,2014,IN,Loam,High,3,200,13166.8
5,2014,IN,Loam,High,3,120,13413.7
5,2014,IN,Loam,High,4,40,14285.6
5,2014,IN,Loam,High,4,80,14415.2
5,2014,IN,Loam,High,4,40,13342.8
5,2014,IN,Loam,High,4,40,12606.4
5,2014,IN,Loam,High,4,200,12848.5
5,2014,IN,Loam,High,4,80,12063.2
5,2014,IN,Loam,High,4,160,13332
5,2014,IN,Loam,High,4,40,10694.2
5,2014,IN,Loam,High,4,80,13802.9
5,2014,IN,Loam,High,4,0,7948.7
5,2014,IN,Loam,High,4,40,13530.2
5,2014,IN,Loam,High,4,280,13487.4
5,2014,IN,Loam,High,4,40,13501.7
5,2014,IN,Loam,High,4,240,13560.2
5,2014,IN,Loam,High,4,40,11337.3
5,2014,IN,Loam,High,4,120,13663.3
6,2014,IN,Sand,Low,1,80,14899.6
6,2014,IN,Sand,Low,1,160,13401.5
6,2014,IN,Sand,Low,1,40,14335.5
6,2014,IN,Sand,Low,1,40,14102.9
6,2014,IN,Sand,Low,1,40,13714.4
6,2014,IN,Sand,Low,1,80,14241.4
6,2014,IN,Sand,Low,1,280,13912.6
6,2014,IN,Sand,Low,1,40,14272.5
6,2014,IN,Sand,Low,1,40,12093.8
6,2014,IN,Sand,Low,1,40,13906
6,2014,IN,Sand,Low,1,240,13502.1
6,2014,IN,Sand,Low,1,200,13730.7
6,2014,IN,Sand,Low,1,80,12515.1
6,2014,IN,Sand,Low,1,0,9016.9
6,2014,IN,Sand,Low,1,40,10823.5
6,2014,IN,Sand,Low,1,120,13595.1
6,2014,IN,Sand,Low,2,80,10368.2
6,2014,IN,Sand,Low,2,40,13995.3
6,2014,IN,Sand,Low,2,80,12619.8
6,2014,IN,Sand,Low,2,120,12856.8
6,2014,IN,Sand,Low,2,0,7193.1
6,2014,IN,Sand,Low,2,200,14160.8
6,2014,IN,Sand,Low,2,40,12486.9
6,2014,IN,Sand,Low,2,280,13536.2
6,2014,IN,Sand,Low,2,160,12553.3
6,2014,IN,Sand,Low,2,40,9757.6
6,2014,IN,Sand,Low,2,40,13751.6
6,2014,IN,Sand,Low,2,40,12728.6
6,2014,IN,Sand,Low,2,80,13728.8
6,2014,IN,Sand,Low,2,40,13790.4
6,2014,IN,Sand,Low,2,240,13869.9
6,2014,IN,Sand,Low,2,40,15017.3
6,2014,IN,Sand,Low,3,40,11175.7
6,2014,IN,Sand,Low,3,40,14101.9
6,2014,IN,Sand,Low,3,40,15511.3
6,2014,IN,Sand,Low,3,200,13879.1
6,2014,IN,Sand,Low,3,160,14128.8
6,2014,IN,Sand,Low,3,40,11572.3
6,2014,IN,Sand,Low,3,80,15090.2
6,2014,IN,Sand,Low,3,0,8387.4
6,2014,IN,Sand,Low,3,40,15013.2
6,2014,IN,Sand,Low,3,80,12466.1
6,2014,IN,Sand,Low,3,80,14575.2
6,2014,IN,Sand,Low,3,40,14691.2
6,2014,IN,Sand,Low,3,40,14870.5
6,2014,IN,Sand,Low,3,280,13400.2
6,2014,IN,Sand,Low,3,240,14502.4
6,2014,IN,Sand,Low,3,120,14023.9
6,2014,IN,Sand,Low,4,80,13816.8
6,2014,IN,Sand,Low,4,40,13233.1
6,2014,IN,Sand,Low,4,40,14045.4
6,2014,IN,Sand,Low,4,160,15035.5
6,2014,IN,Sand,Low,4,40,14603.4
6,2014,IN,Sand,Low,4,80,14196.1
6,2014,IN,Sand,Low,4,40,12896
6,2014,IN,Sand,Low,4,80,13425
6,2014,IN,Sand,Low,4,40,14090.7
6,2014,IN,Sand,Low,4,0,8844.8
6,2014,IN,Sand,Low,4,280,14811.7
6,2014,IN,Sand,Low,4,120,12376
6,2014,IN,Sand,Low,4,40,14303.2
6,2014,IN,Sand,Low,4,240,13678.2
6,2014,IN,Sand,Low,4,40,8890.8
6,2014,IN,Sand,Low,4,200,13806.5
7,2014,MN,NewRichland,High,1,40,.
7,2014,MN,NewRichland,High,1,80,.
7,2014,MN,NewRichland,High,1,40,.
7,2014,MN,NewRichland,High,1,40,.
7,2014,MN,NewRichland,High,1,80,.
7,2014,MN,NewRichland,High,1,40,.
7,2014,MN,NewRichland,High,1,40,.
7,2014,MN,NewRichland,High,1,160,.
7,2014,MN,NewRichland,High,1,0,.
7,2014,MN,NewRichland,High,1,120,.
7,2014,MN,NewRichland,High,1,40,.
7,2014,MN,NewRichland,High,1,40,.
7,2014,MN,NewRichland,High,1,80,.
7,2014,MN,NewRichland,High,1,200,.
7,2014,MN,NewRichland,High,1,240,.
7,2014,MN,NewRichland,High,1,280,.
7,2014,MN,NewRichland,High,2,160,9196.3
7,2014,MN,NewRichland,High,2,80,9477.7
7,2014,MN,NewRichland,High,2,240,8757.8
7,2014,MN,NewRichland,High,2,40,8262.7
7,2014,MN,NewRichland,High,2,0,6622.2
7,2014,MN,NewRichland,High,2,40,9493.4
7,2014,MN,NewRichland,High,2,40,7852.5
7,2014,MN,NewRichland,High,2,80,8415.9
7,2014,MN,NewRichland,High,2,120,9620
7,2014,MN,NewRichland,High,2,40,8790.2
7,2014,MN,NewRichland,High,2,80,8967.2
7,2014,MN,NewRichland,High,2,280,8829.3
7,2014,MN,NewRichland,High,2,40,6812.8
7,2014,MN,NewRichland,High,2,40,9464.8
7,2014,MN,NewRichland,High,2,200,9126.9
7,2014,MN,NewRichland,High,2,40,8881.6
7,2014,MN,NewRichland,High,3,0,7087.9
7,2014,MN,NewRichland,High,3,40,9748.5
7,2014,MN,NewRichland,High,3,40,10480.7
7,2014,MN,NewRichland,High,3,40,9865.3
7,2014,MN,NewRichland,High,3,200,10990.8
7,2014,MN,NewRichland,High,3,40,10443.2
7,2014,MN,NewRichland,High,3,80,9643.4
7,2014,MN,NewRichland,High,3,80,10717.6
7,2014,MN,NewRichland,High,3,40,10586.2
7,2014,MN,NewRichland,High,3,160,11597.7
7,2014,MN,NewRichland,High,3,240,11605.2
7,2014,MN,NewRichland,High,3,120,9873.4
7,2014,MN,NewRichland,High,3,80,10489
7,2014,MN,NewRichland,High,3,40,9918.8
7,2014,MN,NewRichland,High,3,280,11716.9
7,2014,MN,NewRichland,High,3,40,7909.5
7,2014,MN,NewRichland,High,4,120,11492.3
7,2014,MN,NewRichland,High,4,80,10781.7
7,2014,MN,NewRichland,High,4,40,8813.2
7,2014,MN,NewRichland,High,4,80,11132.5
7,2014,MN,NewRichland,High,4,240,11240.2
7,2014,MN,NewRichland,High,4,40,9782.2
7,2014,MN,NewRichland,High,4,160,11781.5
7,2014,MN,NewRichland,High,4,40,9483.5
7,2014,MN,NewRichland,High,4,40,10770.7
7,2014,MN,NewRichland,High,4,40,9169.4
7,2014,MN,NewRichland,High,4,280,12011.1
7,2014,MN,NewRichland,High,4,0,5138.1
7,2014,MN,NewRichland,High,4,40,9630.4
7,2014,MN,NewRichland,High,4,80,9497.2
7,2014,MN,NewRichland,High,4,200,11698.1
7,2014,MN,NewRichland,High,4,40,10027.3
8,2014,MN,StCharles,Low,1,40,10365.2
8,2014,MN,StCharles,Low,1,80,11178.1
8,2014,MN,StCharles,Low,1,40,11728.5
8,2014,MN,StCharles,Low,1,40,11935.4
8,2014,MN,StCharles,Low,1,80,13673.2
8,2014,MN,StCharles,Low,1,40,12032.8
8,2014,MN,StCharles,Low,1,40,12410.8
8,2014,MN,StCharles,Low,1,160,12702.9
8,2014,MN,StCharles,Low,1,0,6543.6
8,2014,MN,StCharles,Low,1,120,12482.4
8,2014,MN,StCharles,Low,1,40,12238.8
8,2014,MN,StCharles,Low,1,40,11796.6
8,2014,MN,StCharles,Low,1,80,.
8,2014,MN,StCharles,Low,1,200,12394.5
8,2014,MN,StCharles,Low,1,240,11831.9
8,2014,MN,StCharles,Low,1,280,11121.1
8,2014,MN,StCharles,Low,2,160,12738.8
8,2014,MN,StCharles,Low,2,80,12443.7
8,2014,MN,StCharles,Low,2,240,9792.4
8,2014,MN,StCharles,Low,2,40,11791
8,2014,MN,StCharles,Low,2,0,.
8,2014,MN,StCharles,Low,2,40,12064.9
8,2014,MN,StCharles,Low,2,40,11699.3
8,2014,MN,StCharles,Low,2,80,.
8,2014,MN,StCharles,Low,2,120,12031.1
8,2014,MN,StCharles,Low,2,40,11880.2
8,2014,MN,StCharles,Low,2,80,14974.6
8,2014,MN,StCharles,Low,2,280,12619.5
8,2014,MN,StCharles,Low,2,40,9303.5
8,2014,MN,StCharles,Low,2,40,11939.7
8,2014,MN,StCharles,Low,2,200,12363.3
8,2014,MN,StCharles,Low,2,40,12182.4
8,2014,MN,StCharles,Low,3,0,5942
8,2014,MN,StCharles,Low,3,40,11153.2
8,2014,MN,StCharles,Low,3,40,12374.2
8,2014,MN,StCharles,Low,3,40,11881.7
8,2014,MN,StCharles,Low,3,200,10306.6
8,2014,MN,StCharles,Low,3,40,11906.1
8,2014,MN,StCharles,Low,3,80,9144.5
8,2014,MN,StCharles,Low,3,80,13136.8
8,2014,MN,StCharles,Low,3,40,11218.9
8,2014,MN,StCharles,Low,3,160,12149.2
8,2014,MN,StCharles,Low,3,240,10590
8,2014,MN,StCharles,Low,3,120,12349.4
8,2014,MN,StCharles,Low,3,80,10748.5
8,2014,MN,StCharles,Low,3,40,10878.7
8,2014,MN,StCharles,Low,3,280,10857.2
8,2014,MN,StCharles,Low,3,40,9368.7
8,2014,MN,StCharles,Low,4,120,12237.4
8,2014,MN,StCharles,Low,4,80,13322.4
8,2014,MN,StCharles,Low,4,40,10424.4
8,2014,MN,StCharles,Low,4,80,12009.1
8,2014,MN,StCharles,Low,4,240,15072.1
8,2014,MN,StCharles,Low,4,40,10057.9
8,2014,MN,StCharles,Low,4,160,11962.9
8,2014,MN,StCharles,Low,4,40,11565.9
8,2014,MN,StCharles,Low,4,40,11925.8
8,2014,MN,StCharles,Low,4,40,8732.8
8,2014,MN,StCharles,Low,4,280,12730.7
8,2014,MN,StCharles,Low,4,0,5003.1
8,2014,MN,StCharles,Low,4,40,12094.6
8,2014,MN,StCharles,Low,4,80,9957
8,2014,MN,StCharles,Low,4,200,13030.7
8,2014,MN,StCharles,Low,4,40,12129.2
9,2014,MO,Bay,Low,1,40,6830.6
9,2014,MO,Bay,Low,1,80,10143.9
9,2014,MO,Bay,Low,1,40,11390.7
9,2014,MO,Bay,Low,1,40,14305.4
9,2014,MO,Bay,Low,1,80,15042.4
9,2014,MO,Bay,Low,1,40,14304.8
9,2014,MO,Bay,Low,1,40,13219.2
9,2014,MO,Bay,Low,1,160,12902.5
9,2014,MO,Bay,Low,1,0,5324.1
9,2014,MO,Bay,Low,1,120,10569.9
9,2014,MO,Bay,Low,1,40,13810
9,2014,MO,Bay,Low,1,40,13418.2
9,2014,MO,Bay,Low,1,80,14147.2
9,2014,MO,Bay,Low,1,200,13558.4
9,2014,MO,Bay,Low,1,240,13824.5
9,2014,MO,Bay,Low,1,280,13802.9
9,2014,MO,Bay,Low,2,160,12639.9
9,2014,MO,Bay,Low,2,80,14045.3
9,2014,MO,Bay,Low,2,240,14455.1
9,2014,MO,Bay,Low,2,40,13536.2
9,2014,MO,Bay,Low,2,0,6328.5
9,2014,MO,Bay,Low,2,40,13985
9,2014,MO,Bay,Low,2,40,11413.3
9,2014,MO,Bay,Low,2,80,10983.3
9,2014,MO,Bay,Low,2,120,13230.3
9,2014,MO,Bay,Low,2,40,12896.7
9,2014,MO,Bay,Low,2,80,14815.9
9,2014,MO,Bay,Low,2,280,14491
9,2014,MO,Bay,Low,2,40,9578.5
9,2014,MO,Bay,Low,2,40,14122.1
9,2014,MO,Bay,Low,2,200,14748.1
9,2014,MO,Bay,Low,2,40,14759.4
9,2014,MO,Bay,Low,3,0,4021.6
9,2014,MO,Bay,Low,3,40,11461.1
9,2014,MO,Bay,Low,3,40,14125.7
9,2014,MO,Bay,Low,3,40,14447.3
9,2014,MO,Bay,Low,3,200,13759.4
9,2014,MO,Bay,Low,3,40,13154.8
9,2014,MO,Bay,Low,3,80,10846
9,2014,MO,Bay,Low,3,80,14018.4
9,2014,MO,Bay,Low,3,40,13046
9,2014,MO,Bay,Low,3,160,12460.5
9,2014,MO,Bay,Low,3,240,12597.2
9,2014,MO,Bay,Low,3,120,12845
9,2014,MO,Bay,Low,3,80,13128.6
9,2014,MO,Bay,Low,3,40,13332.2
9,2014,MO,Bay,Low,3,280,13496
9,2014,MO,Bay,Low,3,40,9272.2
9,2014,MO,Bay,Low,4,120,10640.2
9,2014,MO,Bay,Low,4,80,15210.3
9,2014,MO,Bay,Low,4,40,12108.6
9,2014,MO,Bay,Low,4,80,13591.4
9,2014,MO,Bay,Low,4,240,14544.2
9,2014,MO,Bay,Low,4,40,13814.3
9,2014,MO,Bay,Low,4,160,12591.2
9,2014,MO,Bay,Low,4,40,12448.3
9,2014,MO,Bay,Low,4,40,12013.6
9,2014,MO,Bay,Low,4,40,8244.5
9,2014,MO,Bay,Low,4,280,13955.9
9,2014,MO,Bay,Low,4,0,7569.8
9,2014,MO,Bay,Low,4,40,13295.6
9,2014,MO,Bay,Low,4,80,11062.3
9,2014,MO,Bay,Low,4,200,13044.2
